time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
1.379003212862691e-09	-6.077619e-09	5.808326e-09	-5.695406e-09	-1.188594e-08
1.379003216862691e-09	5.375583e-09	2.606106e-09	-2.482575e-09	2.769477e-09
1.379003224862691e-09	9.924154e-09	1.308527e-09	-1.200952e-09	8.615627e-09
1.379003240862691e-09	1.502996e-08	-1.239702e-10	2.324060e-10	1.515393e-08
1.379003272862691e-09	1.460745e-08	-5.253575e-12	1.137549e-10	1.461270e-08
1.379003280862691e-09	1.501974e-08	-1.206359e-10	2.294343e-10	1.514038e-08
1.379003296862691e-09	1.461157e-08	-4.646061e-12	1.145255e-10	1.461622e-08
1.379003328862691e-09	1.347692e-08	3.145635e-10	-2.041939e-10	1.316236e-08
1.379003392862691e-09	1.392034e-08	1.905738e-10	-7.979935e-11	1.372977e-08
1.379003520862691e-09	1.439840e-08	5.570211e-11	5.457106e-11	1.434270e-08
1.379003776862691e-09	1.438449e-08	5.920686e-11	5.075456e-11	1.432529e-08
1.379003840862691e-09	1.442928e-08	4.653256e-11	6.335031e-11	1.438275e-08
1.379003968862691e-09	1.447418e-08	3.402878e-11	7.593431e-11	1.444015e-08
1.379004224862691e-09	1.438462e-08	5.968026e-11	5.067681e-11	1.432494e-08
1.379004288862691e-09	1.390632e-08	1.911502e-10	-8.299893e-11	1.371517e-08
1.379004304862691e-09	1.354360e-08	2.924674e-10	-1.847262e-10	1.325113e-08
1.379004336862691e-09	1.141248e-09	3.764848e-09	-3.664848e-09	-2.623600e-09
1.379004337862691e-09	-3.324220e-09	5.019986e-09	-4.918943e-09	-8.344206e-09
1.379004339862691e-09	-1.233066e-08	7.563637e-09	-7.450999e-09	-1.989430e-08
1.379004343862691e-09	-9.057278e-09	6.663960e-09	-6.536151e-09	-1.572124e-08
1.379004351862691e-09	6.817428e-09	2.192916e-09	-2.075857e-09	4.624512e-09
1.379004367862691e-09	1.834658e-08	-1.055319e-09	1.163704e-09	1.940190e-08
1.379004399862691e-09	1.616377e-08	-4.393552e-10	5.501363e-10	1.660312e-08
1.379004463862691e-09	1.404309e-08	1.541238e-10	-4.487296e-11	1.388897e-08
1.379004591862691e-09	1.417049e-08	1.178329e-10	-8.985466e-12	1.405266e-08
1.379004847862691e-09	1.442820e-08	4.620659e-11	6.321436e-11	1.438199e-08
