in s,C1 in V
-2.9799472E-03,2.32666E+01
-2.9799008E-03,2.34619E+01
-2.9798544E-03,2.34131E+01
-2.9798080E-03,2.34619E+01
-2.9797616E-03,2.34131E+01
-2.9797152E-03,2.33154E+01
-2.9796688E-03,2.33154E+01
-2.9796224E-03,2.33154E+01
-2.9795760E-03,2.32666E+01
-2.9795296E-03,2.34131E+01
-2.9794832E-03,2.33643E+01
-2.9794368E-03,2.35596E+01
-2.9793904E-03,2.34131E+01
-2.9793440E-03,2.34619E+01
-2.9792976E-03,2.33643E+01
-2.9792512E-03,2.35107E+01
-2.9792048E-03,2.35107E+01
-2.9791584E-03,2.34131E+01
-2.9791120E-03,2.34619E+01
-2.9790656E-03,2.34619E+01
-2.9790192E-03,2.35107E+01
-2.9789728E-03,2.34619E+01
-2.9789264E-03,2.34619E+01
-2.9788800E-03,2.31689E+01
-2.9788336E-03,2.32666E+01
-2.9787872E-03,2.35107E+01
-2.9787408E-03,2.34619E+01
-2.9786944E-03,2.34131E+01
-2.9786480E-03,2.32178E+01
-2.9786016E-03,2.33154E+01
-2.9785552E-03,2.35596E+01
-2.9785088E-03,2.34619E+01
-2.9784624E-03,2.33154E+01
-2.9784160E-03,2.33643E+01
-2.9783696E-03,2.34131E+01
-2.9783232E-03,2.34131E+01
-2.9782768E-03,2.34131E+01
-2.9782304E-03,2.33154E+01
-2.9781840E-03,2.33643E+01
-2.9781376E-03,2.34619E+01
-2.9780912E-03,2.32666E+01
-2.9780448E-03,2.34131E+01
-2.9779984E-03,2.34619E+01
-2.9779520E-03,2.33643E+01
-2.9779056E-03,2.34131E+01
-2.9778592E-03,2.32666E+01
-2.9778128E-03,2.34619E+01
-2.9777664E-03,2.34619E+01
-2.9777200E-03,2.34619E+01
-2.9776736E-03,2.34131E+01
-2.9776272E-03,2.34619E+01
-2.9775808E-03,2.34619E+01
-2.9775344E-03,2.33154E+01
-2.9774880E-03,2.33154E+01
-2.9774416E-03,2.34619E+01
-2.9773952E-03,2.33643E+01
-2.9773488E-03,2.34619E+01
-2.9773024E-03,2.34619E+01
-2.9772560E-03,2.34619E+01
-2.9772096E-03,2.34131E+01
-2.9771632E-03,2.34131E+01
-2.9771168E-03,2.33643E+01
-2.9770704E-03,2.34131E+01
-2.9770240E-03,2.34131E+01
-2.9769776E-03,2.36084E+01
-2.9769312E-03,2.34619E+01
-2.9768848E-03,2.34131E+01
-2.9768384E-03,2.34131E+01
-2.9767920E-03,2.32666E+01
-2.9767456E-03,2.34619E+01
-2.9766992E-03,2.34131E+01
-2.9766528E-03,2.34131E+01
-2.9766064E-03,2.32178E+01
-2.9765600E-03,2.34131E+01
-2.9765136E-03,2.33643E+01
-2.9764672E-03,2.34131E+01
-2.9764208E-03,2.36084E+01
-2.9763744E-03,2.33154E+01
-2.9763280E-03,2.34131E+01
-2.9762816E-03,2.33154E+01
-2.9762352E-03,2.34619E+01
-2.9761888E-03,2.35596E+01
-2.9761424E-03,2.34131E+01
-2.9760960E-03,2.35596E+01
-2.9760496E-03,2.34131E+01
-2.9760032E-03,2.35596E+01
-2.9759568E-03,2.34131E+01
-2.9759104E-03,2.34131E+01
-2.9758640E-03,2.33154E+01
-2.9758176E-03,2.33643E+01
-2.9757712E-03,2.34619E+01
